Detector, Descriptor, Lidar TTC, Camera TTC, Error
SHITOMASI,BRISK
BRISK, BRISK, 12.5156, 13.9352, 0.113428
BRISK, BRISK, 12.6142, 12.9876, 0.0295984
BRISK, BRISK, 14.091, 13.2474, 0.0598656
BRISK, BRISK, 16.6894, 12.8899, 0.227658
BRISK, BRISK, 15.9082, 13.5421, 0.148735
BRISK, BRISK, 12.6787, 13.7533, 0.0847566
BRISK, BRISK, 11.9844, 12.7172, 0.0611511
BRISK, BRISK, 13.1241, 13.7279, 0.0460044
BRISK, BRISK, 13.0241, 11.5126, 0.116054
BRISK, BRISK, 11.1746, 13.456, 0.204158
BRISK, BRISK, 12.8086, 11.7992, 0.0788041
BRISK, BRISK, 8.95978, 11.862, 0.323918
BRISK, BRISK, 9.96439, 12.0367, 0.207971
BRISK, BRISK, 9.59863, 11.4484, 0.192708
BRISK, BRISK, 8.57352, 9.07784, 0.058823
BRISK, BRISK, 9.51617, 10.5687, 0.110605
BRISK, BRISK, 9.54658, 11.6823, 0.223718
BRISK, BRISK, 8.3988, 9.73863, 0.159526
